RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
984-06,Tennant Sweeper (S8),W,NULL,NULL,N,0,0,1,NULL,NULL
984-07,Tennant Sweeper (T3),W,NULL,NULL,Y,0,0,1,NULL,NULL
990-01,Engineering,I,NULL,NULL,Y,89,89,89,2009-05-26 07:00:00.000,2026-05-29 00:00:00.000
990-GRP,Engineering Group,G,NULL,NULL,Y,9456,7623,7624,2007-10-24 00:00:00.000,2027-02-18 09:50:00.000
EMP1,TEAM MEMBER 1,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP10,TEAM MEMBER 10,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP11,TEAM MEMBER 11,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP12,TEAM MEMBER 12,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP13,TEAM MEMBER 13,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP14,TEAM MEMBER 14,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP15,TEAM MEMBER 15,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP16,TEAM MEMBER 16,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP17,TEAM MEMBER 17,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP18,TEAM MEMBER 18,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP19,TEAM MEMBER 19,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP2,TEAM MEMBER 2,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP20,TEAM MEMBER 20,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP21,TEAM MEMBER 21,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP22,TEAM MEMBER 22,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP23,TEAM MEMBER 23,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP24,TEAM MEMBER 24,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP25,TEAM MEMBER 25,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP26,TEAM MEMBER 26,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP3,TEAM MEMBER 3,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP4,TEAM MEMBER 4,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP5,TEAM MEMBER 5,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP6,TEAM MEMBER 6,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP7,TEAM MEMBER 7,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP8,TEAM MEMBER 8,I,NULL,NULL,Y,0,0,1,NULL,NULL
EMP9,TEAM MEMBER 9,I,NULL,NULL,Y,0,0,1,NULL,NULL
EXTRA-OPERATOR,EXTRA OPERATOR,G,NULL,NULL,Y,0,0,1,NULL,NULL
Materials,Materials,W,NULL,NULL,Y,8308,6594,6597,2009-04-16 10:50:00.000,2027-06-15 06:30:00.000
OUTSIDE_SERVICE,Outside Service,C,NULL,NULL,N,24681,21283,22766,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
SR-01,Special Request Notes,W,NULL,NULL,Y,0,0,1,NULL,NULL
V096-04,Lincoln Robotic Welder XHS-CM,W,NULL,NULL,Y,77,77,77,2026-01-29 00:00:00.000,2026-06-29 23:40:00.000
V100-26,Press Room 176 Ton Seyi,W,NULL,NULL,Y,18,18,18,2026-02-12 18:00:00.000,2026-06-05 16:00:00.000
V100-32,Press Room 660 Ton Seyi,W,NULL,NULL,Y,791,791,791,2025-01-30 00:00:00.000,2026-06-01 22:20:00.000
