TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
PURCHASE_DIST,DELETE_PURCHASE_DIST,SQL_TRIGGER,NO,NO,DELETE
PURCHASE_DIST,INSERT_PURCHASE_DIST,SQL_TRIGGER,NO,NO,INSERT
PURCHASE_DIST,UPDATE_PURCHASE_DIST,SQL_TRIGGER,NO,NO,UPDATE
PURCHASE_ORDER,DELETE_PURCHASE_ORDER,SQL_TRIGGER,NO,NO,DELETE
PURCHASE_ORDER,INSERT_PURCHASE_ORDER,SQL_TRIGGER,NO,NO,INSERT
PURCHASE_ORDER,UPDATE_PURCHASE_ORDER,SQL_TRIGGER,NO,NO,UPDATE
QUOTE,DELETE_QUOTE,SQL_TRIGGER,NO,NO,DELETE
QUOTE,INSERT_QUOTE,SQL_TRIGGER,NO,NO,INSERT
QUOTE,UPDATE_QUOTE,SQL_TRIGGER,NO,NO,UPDATE
QUOTE_LINE,DELETE_QUOTE_LINE,SQL_TRIGGER,NO,NO,DELETE
QUOTE_LINE,INSERT_QUOTE_LINE,SQL_TRIGGER,NO,NO,INSERT
QUOTE_LINE,UPDATE_QUOTE_LINE,SQL_TRIGGER,NO,NO,UPDATE
QUOTE_LINE_BINARY,INSUPD_QUOTE_LINE_BINARY,SQL_TRIGGER,NO,NO,INSERT
QUOTE_LINE_BINARY,INSUPD_QUOTE_LINE_BINARY,SQL_TRIGGER,NO,NO,UPDATE
RCR_PAYABLE,UPDATE_RCR_PAYABLE,SQL_TRIGGER,NO,NO,UPDATE
RCR_RECEIVABLE,UPDATE_RCR_RECEIVABLE,SQL_TRIGGER,NO,NO,UPDATE
RECEIVABLE,DELETE_RECEIVABLE,SQL_TRIGGER,NO,NO,DELETE
RECEIVABLE,INSERT_RECEIVABLE,SQL_TRIGGER,NO,NO,INSERT
RECEIVABLE,UPDATE_RECEIVABLE,SQL_TRIGGER,NO,NO,UPDATE
RECEIVABLE,V_AD_RECEIVABLE,SQL_TRIGGER,NO,NO,DELETE
RECEIVABLE,V_AU_RECEIVABLE,SQL_TRIGGER,NO,NO,UPDATE
RECEIVABLE_DIST,INSERT_RECEIVABLE_DIST,SQL_TRIGGER,NO,NO,INSERT
RECEIVABLE_DIST,UPDATE_RECEIVABLE_DIST,SQL_TRIGGER,NO,NO,UPDATE
RECEIVABLE_INST,UPDATE_RECEIVABLE_INST,SQL_TRIGGER,NO,NO,UPDATE
RECEIVABLE_LINE,DELETE_RECEIVABLE_LINE,SQL_TRIGGER,NO,NO,DELETE
RECEIVABLE_LINE,INSERT_RECEIVABLE_LINE,SQL_TRIGGER,NO,NO,INSERT
RECEIVABLE_LINE,UPDATE_RECEIVABLE_LINE,SQL_TRIGGER,NO,NO,UPDATE
RECEIVER,DELETE_RECEIVER,SQL_TRIGGER,NO,NO,DELETE
RECEIVER,INSERT_RECEIVER,SQL_TRIGGER,NO,NO,INSERT
RECEIVER,UPDATE_RECEIVER,SQL_TRIGGER,NO,NO,UPDATE
RECEIVER_LINE,DELETE_RECEIVER_LINE,SQL_TRIGGER,NO,NO,DELETE
RECEIVER_LINE,INSERT_RECEIVER_LINE,SQL_TRIGGER,NO,NO,INSERT
RECEIVER_LINE,UPDATE_RECEIVER_LINE,SQL_TRIGGER,NO,NO,UPDATE
RECV_MEMO_APPLY,DELETE_RECV_MEMO_APPLY,SQL_TRIGGER,NO,NO,DELETE
RECV_MEMO_APPLY,INSERT_RECV_MEMO_APPLY,SQL_TRIGGER,NO,NO,INSERT
RECV_MEMO_APPLY,UPDATE_RECV_MEMO_APPLY,SQL_TRIGGER,NO,NO,UPDATE
REPORT,UPDATE_REPORT,SQL_TRIGGER,NO,NO,UPDATE
REQUEST_FOR_QUOTE,UPDATE_REQUEST_FOR_QUOTE,SQL_TRIGGER,NO,NO,UPDATE
REQUIREMENT,DELETE_REQUIREMENT,SQL_TRIGGER,NO,NO,DELETE
REQUIREMENT,INSERT_REQUIREMENT,SQL_TRIGGER,NO,NO,INSERT
REQUIREMENT,UPDATE_REQUIREMENT,SQL_TRIGGER,NO,NO,UPDATE
REVALUE,UPDATE_REVALUE,SQL_TRIGGER,NO,NO,UPDATE
REVENUE_DIST,INSERT_REVENUE_DIST,SQL_TRIGGER,NO,NO,INSERT
REVENUE_DIST,UPDATE_REVENUE_DIST,SQL_TRIGGER,NO,NO,UPDATE
RFQ_LINE,DELETE_RFQ_LINE,SQL_TRIGGER,NO,NO,DELETE
RFQ_LINE,UPDATE_RFQ_LINE,SQL_TRIGGER,NO,NO,UPDATE
RFQ_LINE_BINARY,INSUPD_RFQ_LINE_BINARY,SQL_TRIGGER,NO,NO,INSERT
RFQ_LINE_BINARY,INSUPD_RFQ_LINE_BINARY,SQL_TRIGGER,NO,NO,UPDATE
RFQ_VENDOR_QUOTE,INSERT_RFQ_VENDOR_QUOTE,SQL_TRIGGER,NO,NO,INSERT
