ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-071280,10,10,MMC0000594,9050.00000000,9.05000000,0.00000000,2026-06-12 01:10:00.000,MTM2,13420.00000000
WO-071281,19,10,MMC0000878,6480.00000000,0.81000000,0.00000000,2026-06-09 05:50:00.000,MTM2,6540.00000000
WO-071282,19,10,MMF0000029,2280.00000000,1.52000000,0.00000000,2026-05-29 00:00:00.000,MTM2,2352.00000000
WO-071283,919,10,V-EMB-71,49.00000000,0.08330000,0.00000000,2026-06-18 21:40:00.000,MTM2,517.00000000
WO-071283,919,20,V-EMB-21,49.00000000,0.08330000,0.00000000,2026-06-18 21:40:00.000,MTM2,1268.00000000
WO-071283,919,30,V-EMB-1,49.00000000,0.08330000,0.00000000,2026-06-18 21:40:00.000,MTM2,221.00000000
WO-071283,919,40,V-EMB-61,49.00000000,0.08330000,0.00000000,2026-06-18 21:40:00.000,MTM2,1122.00000000
WO-071283,919,50,24733471-PKG,580.00000000,1.00000000,0.00000000,2026-06-18 21:40:00.000,MTM2,0.00000000
WO-071284,919,10,V-EMB-71,10.00000000,0.03330000,0.00000000,2026-06-23 22:30:00.000,MTM2,517.00000000
WO-071284,919,20,V-EMB-21,21.00000000,0.06670000,0.00000000,2026-06-23 22:30:00.000,MTM2,1268.00000000
WO-071284,919,30,V-EMB-1,10.00000000,0.03330000,0.00000000,2026-06-23 22:30:00.000,MTM2,221.00000000
WO-071284,919,40,V-EMB-61,10.00000000,0.03330000,0.00000000,2026-06-23 22:30:00.000,MTM2,1122.00000000
WO-071284,919,50,24733461-PKG,300.00000000,1.00000000,0.00000000,2026-06-23 22:30:00.000,MTM2,702.00000000
WO-071287,70,10,2481614,40.00000000,1.00000000,0.00000000,2026-06-02 05:50:00.000,MTM2,100.00000000
WO-071287,70,20,2481385,160.00000000,4.00000000,0.00000000,2026-06-02 05:50:00.000,MTM2,65.00000000
WO-071288,19,10,22-73639-105-Blank,800.00000000,1.00000000,0.00000000,2026-06-03 17:20:00.000,MTM2,0.00000000
WO-071289,19,10,22-73639-110-Blank,1501.00000000,1.00000000,0.00000000,2026-05-28 23:40:00.000,MTM2,0.00000000
WO-071290,19,10,22-73639-150-Blank,400.00000000,1.00000000,0.00000000,2026-05-28 03:00:00.000,MTM2,-1.00000000
WO-071291,919,40,V-EMB-750,5.00000000,0.14290000,0.00000000,2026-05-31 22:30:00.000,MTM2,1774.00000000
WO-071291,919,50,24733428-PKG,28.00000000,1.00000000,0.00000000,2026-05-31 22:30:00.000,MTM2,164.00000000
WO-071292,919,10,V-EMB-79,1.00000000,0.02080000,0.00000000,2026-05-26 17:20:00.000,MTM2,101.00000000
WO-071292,919,20,V-EMB-29,1.00000000,0.04170000,0.00000000,2026-05-26 17:20:00.000,MTM2,45.00000000
WO-071292,919,30,V-EMB-9,1.00000000,0.02080000,0.00000000,2026-05-26 17:20:00.000,MTM2,54.00000000
WO-071292,919,40,V-EMB-69,1.00000000,0.02080000,0.00000000,2026-05-26 17:20:00.000,MTM2,168.00000000
WO-071292,919,50,24733531-PKG,17.00000000,1.00000000,0.00000000,2026-05-26 17:20:00.000,MTM2,139.00000000
WO-071294,10,10,MMF0002006,176.04000000,0.54000000,0.00000000,2026-05-28 15:50:00.000,MTM2,239.00000000
WO-071296,919,10,24773808-PKG,4.00000000,1.00000000,0.00000000,2026-05-29 10:40:00.000,MTM2,33.00000000
WO-071296,919,20,V-EMB-91,1.00000000,0.01560000,0.00000000,2026-05-29 10:40:00.000,MTM2,274.00000000
WO-071296,919,30,V-EMB-1,1.00000000,0.01560000,0.00000000,2026-05-29 10:40:00.000,MTM2,221.00000000
WO-071296,919,40,V-EMB-780,1.00000000,0.25000000,0.00000000,2026-05-29 10:40:00.000,MTM2,761.00000000
WO-071298,910,10,24795000-PKG,44.00000000,1.00000000,0.00000000,2026-05-29 22:50:00.000,MTM2,8.00000000
WO-071298,910,20,V-EMB-92,1.00000000,0.00190000,0.00000000,2026-05-29 22:40:00.000,MTM2,223.00000000
WO-071298,910,30,V-EMB-2,1.00000000,0.00190000,0.00000000,2026-05-29 22:40:00.000,MTM2,387.00000000
WO-071298,910,40,V-EMB-750,1.00000000,0.02220000,0.00000000,2026-05-29 22:40:00.000,MTM2,1774.00000000
WO-071299,10,10,MMF0005007,3191.76000000,11.44000000,0.00000000,2026-06-12 08:40:00.000,MTM2,0.00000000
WO-071300,919,10,V-EMB-92,1.00000000,0.00780000,0.00000000,2026-05-31 23:10:00.000,MTM2,223.00000000
WO-071300,919,20,V-EMB-2,1.00000000,0.00780000,0.00000000,2026-05-31 23:10:00.000,MTM2,387.00000000
WO-071300,919,30,V-EMB-780,2.00000000,0.06250000,0.00000000,2026-05-31 23:10:00.000,MTM2,761.00000000
WO-071300,919,40,24797075-PKG,20.00000000,1.00000000,0.00000000,2026-05-31 23:10:00.000,MTM2,30.00000000
WO-071301,919,10,24858497-PKG,50.00000000,1.00000000,0.00000000,2026-06-02 23:40:00.000,MTM2,26.00000000
WO-071301,919,20,V-EMB-71,2.00000000,0.02780000,0.00000000,2026-06-02 23:40:00.000,MTM2,517.00000000
WO-071301,919,30,V-EMB-21,3.00000000,0.05560000,0.00000000,2026-06-02 23:40:00.000,MTM2,1268.00000000
WO-071301,919,40,V-EMB-1,2.00000000,0.02780000,0.00000000,2026-06-02 23:40:00.000,MTM2,221.00000000
WO-071301,919,50,V-EMB-61,2.00000000,0.02780000,0.00000000,2026-06-02 23:40:00.000,MTM2,1122.00000000
WO-071302,919,10,24858500-PKG,25.00000000,1.00000000,0.00000000,2026-05-31 23:00:00.000,MTM2,19.00000000
WO-071302,919,20,V-EMB-71,1.00000000,0.02780000,0.00000000,2026-05-31 23:00:00.000,MTM2,517.00000000
WO-071302,919,30,V-EMB-21,2.00000000,0.05560000,0.00000000,2026-05-31 23:00:00.000,MTM2,1268.00000000
WO-071302,919,40,V-EMB-1,1.00000000,0.02780000,0.00000000,2026-05-31 23:00:00.000,MTM2,221.00000000
WO-071302,919,50,V-EMB-61,1.00000000,0.02780000,0.00000000,2026-05-31 23:00:00.000,MTM2,1122.00000000
